GymChain,ClubID,GymName,Address,CountyName,LocationScope,PlanName,PlanTerm,PriceType,DuesAmount,DuesFrequency,MonthlyEquivalent,InitiationFee,AnnualFee,EffectiveMonthlyCost,PromotionalDuesAmount,PromotionStatus,OfferExpiration,Status,SourceType,SourceURL,LocationURL,RetrievedAtUTC,Notes
LA Fitness,256,Coconut Creek,"5501 Lyons Road, Coconut Creek, FL 33073",Broward County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=1rlzNfUy%2bYXUzmCGjAD3BQ%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment; Nationwide Access
LA Fitness,9,Coral Springs - University Dr,"2633 University Drive, Coral Springs, FL 33065",Broward County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=tGH%2bYqwB7oK6XMB7YuQ20A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,9,Coral Springs - University Dr,"2633 University Drive, Coral Springs, FL 33065",Broward County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=tGH%2bYqwB7oK6XMB7YuQ20A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,9,Coral Springs - University Dr,"2633 University Drive, Coral Springs, FL 33065",Broward County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=tGH%2bYqwB7oK6XMB7YuQ20A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,235,Deerfield Beach,"1000 East Hillsboro Blvd, Deerfield Beach, FL 33441",Broward County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=%2ffwZ%2fHkiPAFD5Z%2bh1gpTEg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,235,Deerfield Beach,"1000 East Hillsboro Blvd, Deerfield Beach, FL 33441",Broward County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=%2ffwZ%2fHkiPAFD5Z%2bh1gpTEg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,235,Deerfield Beach,"1000 East Hillsboro Blvd, Deerfield Beach, FL 33441",Broward County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=%2ffwZ%2fHkiPAFD5Z%2bh1gpTEg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1029,Delray Beach,"1660 S Federal Highway, Delray Beach, FL 33483",Palm Beach County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=bm9Ocu5oPhJ1lemssBhPzw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,1029,Delray Beach,"1660 S Federal Highway, Delray Beach, FL 33483",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=bm9Ocu5oPhJ1lemssBhPzw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1029,Delray Beach,"1660 S Federal Highway, Delray Beach, FL 33483",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=bm9Ocu5oPhJ1lemssBhPzw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1232,Dunedin,"1681 Main St, Dunedin, FL 34698",Pinellas County,Official Florida club,Basic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Y6E1ccHqAOH59JiM7yx7bA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,1232,Dunedin,"1681 Main St, Dunedin, FL 34698",Pinellas County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Y6E1ccHqAOH59JiM7yx7bA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1232,Dunedin,"1681 Main St, Dunedin, FL 34698",Pinellas County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Y6E1ccHqAOH59JiM7yx7bA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment; Nationwide Access
LA Fitness,683,FT. Lauderdale - SE 10th Ave.,"1900 SE 10th Ave, Fort Lauderdale, FL 33316",Broward County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=fHkbbxeBxgjbSnOp%2b5BcFA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
