LocationID,GymChain,GymName,Address,CountyName,Latitude,Longitude,Rating,ReviewCount
ChIJiScTiV-x5YgRANX1NL8MTTc,Planet Fitness,Planet Fitness,"5290 Norwood Ave #2, Jacksonville, FL 32208",Duval County,30.3720583,-81.665357,4.3,92
ChIJmQSPeKa15YgRXccJLFIvALY,Planet Fitness,Planet Fitness,"8595 Beach Blvd, Jacksonville, FL 32216",Duval County,30.2885792,-81.5658342,4.3,894
ChIJmZj_S6dJ5IgRJwJN-kmra-A,Planet Fitness,Planet Fitness,"253 Royal Palms Dr, Atlantic Beach, FL 32233",Duval County,30.3260491,-81.4087679,4.5,527
ChIJmcEoJixK5IgRa4C2vv2tHmE,Planet Fitness,Planet Fitness,"14444 Beach Blvd, Jacksonville, FL 32250",Duval County,30.2869427,-81.4348631,4.3,757
ChIJnx-KI0rH5YgRjAlpML1cgK0,Planet Fitness,Planet Fitness,"7628 103rd St Units 16-20, Jacksonville, FL 32210",Duval County,30.24687,-81.7744587,4.1,496
ChIJo1FYnnS75YgRDAAgo5FcQiE,Planet Fitness,Planet Fitness,"8661 Old Kings Rd S, Jacksonville, FL 32217",Duval County,30.2227516,-81.5915082,4.5,801
ChIJp8UXEvm35YgRndYXpkrt6K8,Planet Fitness,Planet Fitness,"2777 University Blvd W, Jacksonville, FL 32217",Duval County,30.2618945,-81.6309538,4.4,93
ChIJQcF27SjAkIgRoqU0d9dGGuE,LA Fitness,Pensacola Fitness Club,"6933 N 9th Ave, Pensacola, FL 32504",Escambia County,30.4976964,-87.1905683,4.3,297
ChIJUSOR6vS_kIgROZcDSIyk8QE,Orangetheory Fitness,Orangetheory Fitness,"5555 N Davis Hwy, Pensacola, FL 32503",Escambia County,30.4770431,-87.2256167,4.7,199
ChIJQ8c1KXm-kIgReDWmzT-2IZU,Planet Fitness,Planet Fitness,"5975 Mobile Hwy, Pensacola, FL 32526",Escambia County,30.4599602,-87.302371,4.4,1072
ChIJrS6GoPm_kIgR9LAPqiSFe4g,Planet Fitness,Planet Fitness,"6241 N Davis Hwy, Pensacola, FL 32504",Escambia County,30.4902417,-87.2259826,4.3,820
